subscriptionYear,country,institution,agreementType,validity,state,dreLink,subscriptionLevel,agreementLink,languages,Props,internationalLink
2019,Alemania,Bergische Universität Wuppertal,Intercambio,marzo - 2024,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2019__Bergische_Universitaet_Wuppertal__Alemania_.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=1915&cHash=97dd8e0cf2f164a8144820073ab40f0c&pointer=8&listtype=1,Alemán inglés,"Enfoque internacional
Relación con la comunidad local
Patrimonio industrial
Interdisciplinariedad
Investigación innovadora
Enfoque práctico
Arte y diseño
Arquitectura y espacios urbanos
Cultura visual y estudios de medios",https://www.internationales.uni-wuppertal.de/en/incoming/international-students/exchange-students-from-buw-partner-universities.html
2016,Alemania,Biberach University of Applied Sciences,Intercambio,agosto - 2026,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2016_Biberach_University_of_Applied_Sciences.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Enfoque en ciencias aplicadas
Relación con la industria y empresas
Programas de formación dual
Innovación en tecnología de la construcción
Especialización en energía y medio ambiente
Orientación práctica en la educación
Colaboraciones internacionales
Investigación aplicada
Desarrollo de proyectos sostenibles",https://www.hochschule-biberach.de/studium/international
2018,Alemania,Brandenburgische Technische Universität Cottbus-Senftenberg (B-TU),Intercambio,abril - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/2018_Brandenburg_University_of_Technology_Cottbus_Senftenberg_Especifico.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2451&cHash=b0822d80ac1627faf0ec72e4f1e5fad9&filtro=Internacionales&pointer=7,Alemán inglés,"Enfoque en ingeniería y tecnología
Investigación en energía y medio ambiente
Innovación en planificación urbana y arquitectura
Colaboraciones internacionales
Interdisciplinariedad en estudios académicos
Orientación práctica y proyectos aplicados
Fomento de la sostenibilidad
Relación con la industria y empresas
Desarrollo de soluciones tecnológicas avanzadas",https://www.b-tu.de/en/international/incoming-exchange/exchange-students-incomings/studexa-free-mover/
2018,Alemania,Deggendorf Institute of Technology,Intercambio,diciembre - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/04.04.2019_-Universidad_Tecnica_de__Deggendorf.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Enfoque en ciencias aplicadas
Colaboraciones con la industria
Programas de formación dual
Innovación en ingeniería y tecnología
Orientación internacional
Fomento del espíritu emprendedor
Investigación aplicada
Desarrollo sostenible
Conexión con la comunidad empresarial local",https://www.th-deg.de/en/study-with-us/exchange-students
2018,Alemania,Ernst Abbe Hochschule Jena,Marco+Intercambio,febrero - 2023,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/2018_CI_Ernst_Abbe_Hochschule_Jena.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2588&cHash=8ff883fb2a728277116b8ed21d5a8485&pointer=13,Alemán inglés,"Enfoque en ciencias aplicadas
Relación estrecha con la industria
Innovación en óptica y fotónica
Orientación práctica en la enseñanza
Investigación aplicada
Colaboraciones internacionales
Desarrollo de tecnología médica
Fomento del espíritu emprendedor
Interdisciplinariedad en los estudios",https://www.sw.eah-jena.de/institute-projekte/international-program/information-for-incoming-international-students/
2019,Alemania,Freie Universität Berlin,Erasmus +,octubre - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/IIA_UNAL2019_FREIE_ERASMUS.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2017&cHash=b2a5e9c3a277220081d5616e7dcd2213&pointer=15,Alemán inglés,"Investigación interdisciplinaria
Enfoque en humanidades y ciencias sociales
Fuerte orientación internacional
Programas de investigación avanzados
Promoción de la igualdad y diversidad
Colaboraciones académicas globales
Innovación en ciencias naturales y vida
Participación activa en el debate público
Desarrollo de políticas públicas y sociales",https://www.fu-berlin.de/en/studium/international/studium_fu/auslandssemester/index.html
2015,Alemania,Technische Universität Berlin,Intercambio,Indefinido,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2015_Technische_Universitaet_Berlin.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2645&cHash=687bd3a91bbdb09114e59dadd806dfb9&pointer=8,Alemán inglés,"Investigación en ingeniería y tecnología
Innovación en ciencias aplicadas
Colaboraciones con la industria
Fuerte orientación internacional
Interdisciplinariedad en proyectos académicos
Desarrollo de tecnologías emergentes
Enfoque en sostenibilidad
Programas de investigación avanzados
Integración con la comunidad empresarial y tecnológica",https://cutt.ly/xfPgXHp
2019,Alemania,Friedrich-Alexander Universität Erlangen-Nürnberg (FAU),Marco+Intercambio,agosto - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2019_Friedrich_Alexander_Universitaet_Erlanger_Nueremberg.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2127&cHash=6db0cb9bd9269db7c3b00af0bb20d71e&pointer=21,Alemán inglés,"Investigación interdisciplinaria
Innovación en ciencias naturales y tecnología
Enfoque en ingeniería y ciencias aplicadas
Colaboraciones internacionales
Fuerte componente práctico en la educación
Desarrollo en áreas como salud, materiales y energía
Participación en proyectos de investigación aplicada
Promoción de la transferencia de tecnología
Conexión con la industria y empresas locales",https://www.fau.eu/education/international/from-abroad/application-and-enrolment/
2016,Alemania,Georg-August-Universität Göttingen,Marco+Intercambio,mayo - 2026,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2016_Georg_August_Universitaet_Goettingen_02.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2065&cHash=c507cf9e2c872c2d24e2c66fea4bd6fc&pointer=3,Alemán inglés,"Investigación en ciencias naturales y sociales
Fuerte orientación en matemáticas y física
Interdisciplinariedad en estudios académicos
Colaboraciones internacionales
Innovación en biología y química
Desarrollo en humanidades y ciencias sociales
Fomento de la investigación básica y aplicada
Integración con la comunidad científica global
Programas de educación avanzada y postgrado",https://www.uni-goettingen.de/en/311055.html
2013,Alemania,Hochschule Coburg,Intercambio,abril - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2013_UNIVERSIDAD_DE_COBURG__ESPECIFICO.pdf,Departamento de Trabajo Social,,Alemán inglés,"Enfoque en ciencias aplicadas y tecnología
Innovación en diseño y ingeniería
Programas de formación dual
Colaboraciones con la industria
Orientación práctica en la educación
Investigación aplicada en áreas tecnológicas
Desarrollo en gestión de tecnología e innovación
Participación en proyectos sostenibles
Fomento del espíritu emprendedor",https://www.coburg-university.de/academic-studies/exchange-students-program.html
2022,Alemania,Hochschule Geisenheim University,Marco+Intercambio,enero - 2027,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/2021_Acuerdo_de_Cooperacio__n_e_Intercambio_Acade__mico_Geisenheim_y_UN_Colombia_final.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Investigación en ciencias vitivinícolas y horticultura
Innovación en tecnología agrícola y ambiental
Enfoque en sostenibilidad y gestión de recursos
Colaboraciones con la industria agrícola y vitivinícola
Desarrollo de técnicas y tecnologías en cultivo
Orientación práctica en la formación
Fomento del espíritu emprendedor en el sector agrícola
Participación en proyectos internacionales
Interdisciplinariedad en estudios agrícolas y ambientales",https://www.hs-geisenheim.de/en/studies/international/your-route-to-geisenheim/exchange-students/
2016,Alemania,Humboldt Universität Berlin,Marco+Intercambio,Indefinido,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2016_Humbold_Universitaet_zu_Berlin.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Investigación interdisciplinaria en humanidades y ciencias sociales
Fuerte enfoque en ciencias naturales
Promoción de la igualdad y diversidad
Colaboraciones académicas internacionales
Innovación en educación y políticas públicas
Desarrollo en áreas de filosofía, historia y literatura
Participación activa en el debate académico y social
Enfoque en la investigación básica y aplicada
Integración con la comunidad científica y cultural global",https://www.international.hu-berlin.de/en/studierende/aus-dem-ausland
2014,Alemania,Justus-Liebig-Universität Giessen,Intercambio,Indefinido,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2014_CIE_Justus_Liebig_University_Giessen.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2148&cHash=133c5ebd987f8ed54e86d6c94eb3e03a&pointer=15,Alemán inglés,"Investigación en ciencias naturales y sociales
Enfoque en ciencias de la vida y medicina
Innovación en tecnología de materiales y química
Colaboraciones internacionales
Fuerte componente práctico en la formación
Desarrollo en áreas de agricultura y nutrición
Participación en proyectos de investigación aplicada
Interdisciplinariedad en estudios académicos
Promoción de la transferencia de tecnología y conocimiento",https://www.uni-giessen.de/international-pages/study/application/ex
